segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
1317835881_2,1317835881,seomyeon_station_1km,1771424355,1764899517,secondary,새싹로,conditional,367.05,"LINESTRING (129.0529329 35.1656023, 129.0527192 35.1658636, 129.0519191 35.1668400, 129.0512839 35.1676210, 129.0509824 35.1679685, 129.0508443 35.1680990, 129.0506630 35.1683306)"
1335350956_1,1335350956,seomyeon_station_1km,5264087900,12353918432,footway,,direct,13.309,"LINESTRING (129.0597979 35.1665247, 129.0598757 35.1664233)"
1335350956_2,1335350956,seomyeon_station_1km,12353918432,12546130492,footway,,direct,8.075,"LINESTRING (129.0598757 35.1664233, 129.0599008 35.1663887, 129.0599169 35.1663591)"
1335350956_3,1335350956,seomyeon_station_1km,12546130492,12546130468,footway,,direct,2.448,"LINESTRING (129.0599169 35.1663591, 129.0599436 35.1663562)"
1335350959_1,1335350959,seomyeon_station_1km,4319172286,5264087908,footway,,direct,57.536,"LINESTRING (129.0545795 35.1648129, 129.0544479 35.1645359, 129.0542508 35.1643857)"
1351807113_1,1351807113,seomyeon_station_1km,436870954,12546151533,primary,중앙대로,conditional,12.773,"LINESTRING (129.0640192 35.1638379, 129.0640925 35.1639359)"
1351807113_2,1351807113,seomyeon_station_1km,12546151533,12506902240,primary,중앙대로,conditional,61.687,"LINESTRING (129.0640925 35.1639359, 129.0641531 35.1640110, 129.0642876 35.1641916, 129.0644245 35.1644189)"
1351807113_3,1351807113,seomyeon_station_1km,12506902240,12506902233,primary,중앙대로,conditional,212.524,"LINESTRING (129.0644245 35.1644189, 129.0645043 35.1646352, 129.0646389 35.1649840, 129.0647864 35.1652430, 129.0649407 35.1654458, 129.0654693 35.1661132)"
1351807113_4,1351807113,seomyeon_station_1km,12506902233,12506902237,primary,중앙대로,conditional,111.734,"LINESTRING (129.0654693 35.1661132, 129.0661129 35.1669693)"
1352267177_1,1352267177,seomyeon_station_1km,9706723857,12511733836,secondary_link,,conditional,70.276,"LINESTRING (129.0637512 35.1634836, 129.0638862 35.1635815, 129.0640172 35.1636227, 129.0641112 35.1636365, 129.0642200 35.1636474, 129.0643191 35.1636357, 129.0644615 35.1636058)"
1353131153_1,1353131153,seomyeon_station_1km,12520416842,11966196617,secondary,동성로,conditional,51.851,"LINESTRING (129.0619088 35.1611702, 129.0620090 35.1612500, 129.0620682 35.1613111, 129.0621232 35.1613473, 129.0622178 35.1613381, 129.0622652 35.1613049, 129.0623007 35.1612225)"
1353131154_1,1353131154,seomyeon_station_1km,11966196621,9861930126,secondary,동성로,conditional,53.564,"LINESTRING (129.0627487 35.1614700, 129.0626866 35.1615443, 129.0625080 35.1617282, 129.0625025 35.1617719, 129.0625255 35.1618833)"
