vertexId,osm_node_id,point
497,1771317871,POINT (129.0547086 35.1591365)
498,1771317874,POINT (129.0539785 35.1558577)
499,1771317875,POINT (129.0547538 35.1567620)
500,1771317876,POINT (129.0537199 35.1567603)
501,1771317877,POINT (129.0578061 35.1582694)
502,1771317878,POINT (129.0565505 35.1582767)
503,1771317879,POINT (129.0598626 35.1597562)
504,1771321068,POINT (129.0709810 35.1581393)
505,1771321072,POINT (129.0706938 35.1603422)
506,1771407343,POINT (129.0549165 35.1526020)
507,1771407345,POINT (129.0544112 35.1540547)
508,1771407347,POINT (129.0559046 35.1536677)
509,1771407366,POINT (129.0520823 35.1560268)
510,1771407370,POINT (129.0549744 35.1520233)
511,1771407372,POINT (129.0532410 35.1561277)
512,1771407375,POINT (129.0518742 35.1561834)
513,1771417515,POINT (129.0684177 35.1522532)
514,1771417519,POINT (129.0672484 35.1535131)
515,1771417528,POINT (129.0654877 35.1535121)
516,1771417530,POINT (129.0661664 35.1527045)
517,1771417532,POINT (129.0672583 35.1527146)
518,1771417534,POINT (129.0672641 35.1522454)
519,1771417536,POINT (129.0661555 35.1540287)
520,1771417562,POINT (129.0667724 35.1509500)
521,1771417565,POINT (129.0661633 35.1530864)
522,1771417568,POINT (129.0655181 35.1503227)
523,1771417571,POINT (129.0684017 35.1535139)
524,1771417578,POINT (129.0661598 35.1535125)
525,1771417579,POINT (129.0667621 35.1518001)
526,1771417580,POINT (129.0667445 35.1522420)
527,1771417583,POINT (129.0654918 35.1530857)
528,1771417587,POINT (129.0655121 35.1509576)
529,1771417607,POINT (129.0683950 35.1540387)
530,1771417611,POINT (129.0668742 35.1499108)
531,1771417613,POINT (129.0672537 35.1530875)
532,1771417617,POINT (129.0661703 35.1522381)
533,1771417630,POINT (129.0661809 35.1509525)
534,1771417633,POINT (129.0716490 35.1539321)
535,1771417634,POINT (129.0672419 35.1540335)
536,1771417637,POINT (129.0684117 35.1527252)
537,1771420614,POINT (129.0689218 35.1501400)
538,1771420623,POINT (129.0694550 35.1501341)
539,1771420624,POINT (129.0694602 35.1504860)
540,1771424343,POINT (129.0515164 35.1648514)
541,1771424346,POINT (129.0508255 35.1674733)
542,1771424350,POINT (129.0504316 35.1654297)
543,1771424355,POINT (129.0529329 35.1656023)
544,1771424357,POINT (129.0502782 35.1639102)
545,1771424360,POINT (129.0510950 35.1664525)
546,1771424362,POINT (129.0503754 35.1646443)
547,1771424367,POINT (129.0528933 35.1643561)
548,1771424368,POINT (129.0504864 35.1663463)
549,1771424369,POINT (129.0522812 35.1649902)
550,1771424378,POINT (129.0513221 35.1655898)
551,1771424379,POINT (129.0525065 35.1642693)
552,1771431764,POINT (129.0574178 35.1652030)
553,1771431780,POINT (129.0564310 35.1636510)
554,1771431786,POINT (129.0574344 35.1637376)
555,1771431816,POINT (129.0574880 35.1649656)
556,1771431817,POINT (129.0563586 35.1637853)
557,1771431826,POINT (129.0562635 35.1628612)
558,1771431833,POINT (129.0567183 35.1632312)
559,1771566504,POINT (129.0663222 35.1495265)
560,1771566509,POINT (129.0684706 35.1500887)
561,1771566511,POINT (129.0679877 35.1428061)
562,1771566517,POINT (129.0674740 35.1480164)
563,1771566519,POINT (129.0679259 35.1497777)
564,1771566535,POINT (129.0674922 35.1449714)
565,1771566548,POINT (129.0668597 35.1488170)
566,1771566556,POINT (129.0665054 35.1492755)
567,1771566557,POINT (129.0687909 35.1487206)
568,1771566567,POINT (129.0684684 35.1499620)
569,1771566574,POINT (129.0682448 35.1449637)
570,1771566588,POINT (129.0663301 35.1485506)
571,1771566594,POINT (129.0674752 35.1491242)
572,1771566595,POINT (129.0682760 35.1487759)
573,1771566596,POINT (129.0673967 35.1496009)
574,1771569319,POINT (129.0555542 35.1553985)
575,1771569324,POINT (129.0567398 35.1537625)
576,1771569325,POINT (129.0578136 35.1541222)
577,1771569326,POINT (129.0569704 35.1544716)
578,1771569329,POINT (129.0560581 35.1544618)
579,1771569330,POINT (129.0568560 35.1541071)
580,1771569331,POINT (129.0578187 35.1537779)
581,1771569333,POINT (129.0571635 35.1549774)
582,1771569336,POINT (129.0555396 35.1558822)
583,1771569337,POINT (129.0572413 35.1554029)
